timestamp,ghi,dni,dhi,temp_air
2024-01-01 00:00:00,0.0,0.0,0.0,7.3
2024-01-01 01:00:00,0.0,0.0,0.0,7.5
2024-01-01 02:00:00,0.0,0.0,0.0,7.2
2024-01-01 03:00:00,0.0,0.0,0.0,7.2
2024-01-01 04:00:00,0.0,0.0,0.0,6.9
2024-01-01 05:00:00,0.0,0.0,0.0,6.6
2024-01-01 06:00:00,0.0,0.0,0.0,7.2
2024-01-01 07:00:00,0.0,0.0,0.0,6.7
2024-01-01 08:00:00,0.0,0.0,0.0,6.7
2024-01-01 09:00:00,0.0,0.0,0.0,7.0
2024-01-01 10:00:00,1.0,0.0,1.0,7.3
2024-01-01 11:00:00,12.0,0.0,12.0,7.5
2024-01-01 12:00:00,38.0,5.4,37.0,7.7
2024-01-01 13:00:00,82.0,28.4,75.0,8.0
2024-01-01 14:00:00,170.0,344.3,77.0,8.3
2024-01-01 15:00:00,153.0,298.6,77.0,8.1
2024-01-01 16:00:00,143.0,453.0,52.0,7.9
2024-01-01 17:00:00,68.0,336.9,30.0,7.3
2024-01-01 18:00:00,7.0,38.2,5.0,6.5
2024-01-01 19:00:00,0.0,0.0,0.0,6.5
2024-01-01 20:00:00,0.0,0.0,0.0,6.3
2024-01-01 21:00:00,0.0,0.0,0.0,6.2
2024-01-01 22:00:00,0.0,0.0,0.0,6.3
2024-01-01 23:00:00,0.0,0.0,0.0,6.2
2024-01-02 00:00:00,0.0,0.0,0.0,6.6
2024-01-02 01:00:00,0.0,0.0,0.0,6.7
2024-01-02 02:00:00,0.0,0.0,0.0,7.0
2024-01-02 03:00:00,0.0,0.0,0.0,7.3
2024-01-02 04:00:00,0.0,0.0,0.0,7.4
2024-01-02 05:00:00,0.0,0.0,0.0,7.3
2024-01-02 06:00:00,0.0,0.0,0.0,7.1
2024-01-02 07:00:00,0.0,0.0,0.0,8.5
2024-01-02 08:00:00,0.0,0.0,0.0,9.9
2024-01-02 09:00:00,0.0,0.0,0.0,10.9
2024-01-02 10:00:00,0.0,0.0,0.0,11.2
2024-01-02 11:00:00,16.0,0.0,16.0,11.2
2024-01-02 12:00:00,80.0,145.0,53.0,11.3
2024-01-02 13:00:00,26.0,0.0,26.0,11.1
2024-01-02 14:00:00,53.0,0.0,53.0,11.0
2024-01-02 15:00:00,20.0,0.0,20.0,9.8
2024-01-02 16:00:00,14.0,0.0,14.0,9.8
2024-01-02 17:00:00,6.0,0.0,6.0,10.3
2024-01-02 18:00:00,1.0,0.0,1.0,10.3
2024-01-02 19:00:00,0.0,0.0,0.0,10.6
2024-01-02 20:00:00,0.0,0.0,0.0,11.3
2024-01-02 21:00:00,0.0,0.0,0.0,11.5
2024-01-02 22:00:00,0.0,0.0,0.0,11.0
2024-01-02 23:00:00,0.0,0.0,0.0,10.5
2024-01-03 00:00:00,0.0,0.0,0.0,9.7
2024-01-03 01:00:00,0.0,0.0,0.0,9.4
2024-01-03 02:00:00,0.0,0.0,0.0,9.2
2024-01-03 03:00:00,0.0,0.0,0.0,9.3
2024-01-03 04:00:00,0.0,0.0,0.0,9.1
2024-01-03 05:00:00,0.0,0.0,0.0,9.0
2024-01-03 06:00:00,0.0,0.0,0.0,9.0
2024-01-03 07:00:00,0.0,0.0,0.0,9.0
2024-01-03 08:00:00,0.0,0.0,0.0,8.9
2024-01-03 09:00:00,0.0,0.0,0.0,8.7
2024-01-03 10:00:00,1.0,0.0,1.0,8.9
2024-01-03 11:00:00,21.0,0.0,21.0,8.7
2024-01-03 12:00:00,78.0,165.8,47.0,9.2
2024-01-03 13:00:00,152.0,325.6,71.0,9.8
2024-01-03 14:00:00,107.0,80.6,85.0,10.1
2024-01-03 15:00:00,123.0,170.5,79.0,10.2
2024-01-03 16:00:00,76.0,48.8,66.0,9.7
2024-01-03 17:00:00,58.0,162.0,39.0,9.6
2024-01-03 18:00:00,4.0,0.0,4.0,8.9
2024-01-03 19:00:00,0.0,0.0,0.0,8.4
2024-01-03 20:00:00,0.0,0.0,0.0,8.1
2024-01-03 21:00:00,0.0,0.0,0.0,8.0
2024-01-03 22:00:00,0.0,0.0,0.0,8.4
2024-01-03 23:00:00,0.0,0.0,0.0,8.5
2024-01-04 00:00:00,0.0,0.0,0.0,7.9
2024-01-04 01:00:00,0.0,0.0,0.0,7.5
2024-01-04 02:00:00,0.0,0.0,0.0,7.6
2024-01-04 03:00:00,0.0,0.0,0.0,7.8
2024-01-04 04:00:00,0.0,0.0,0.0,7.7
2024-01-04 05:00:00,0.0,0.0,0.0,7.5
2024-01-04 06:00:00,0.0,0.0,0.0,7.6
2024-01-04 07:00:00,0.0,0.0,0.0,7.5
2024-01-04 08:00:00,0.0,0.0,0.0,7.6
